Date,Category,Properties,Amount,Notes
01/04/2021,Fee,DelMar,205.00,x
01/14/2021,Appliance Supplies,Alva,22.00,x
01/17/2021,Utilities,Alva,166.62,x
01/18/2021,HOA,Alva,324.00,x
01/18/2021,HOA,Alta,316.00,x
01/18/2021,HOA,TorreyHighland,298.00,x
01/18/2021,HOA,Campo,298.00,x
01/18/2021,HOA,Poway,298.00,x
01/18/2021,HOA,SpringBrook,363.00,x
01/18/2021,HOA,SabreSpring,363.00,x
01/18/2021,HOA,Heatherton,390.00,x
01/18/2021,HOA,DelMar,295.00,x
01/19/2021,Insurance,Campo,276.00,x
01/19/2021,Insurance,Poway,276.00,x
01/19/2021,Insurance,Alva,241.00,x
01/19/2021,Insurance,SabreSpring,201.00,x
01/19/2021,Insurance,Heatherton,274.00,x
01/19/2021,Insurance,TorreyHighland,276.00,x
01/26/2021,Permits & License,SpringBrook,59.00,x
01/26/2021,Permits & License,SabreSpring,59.00,x
01/26/2021,Permits & License,Heatherton,59.00,x
01/26/2021,Permits & License,Alta,59.00,x
01/31/2021,Permits & License,TorreyHighland,59.00,x
01/31/2021,Permits & License,Campo,59.00,x
01/31/2021,Permits & License,Poway,59.00,x
02/03/2021,Fee,DelMar,205.00,x
02/08/2021,Legal & Prof. Fees,Alva,800.00,x
02/10/2021,Utilities,TorreyHighland,143.99,x
02/10/2021,Utilities,Campo,56.71,x
02/10/2021,Utilities,Poway,60.95,x
02/10/2021,Cleaning & Maintenance,SpringBrook,595.00,x
02/15/2021,Permits & License,DelMar,59.00,x
02/15/2021,Insurance,DelMar,687.86,x
02/19/2021,HOA,Alva,324.00,x
02/19/2021,HOA,Alta,316.00,x
02/19/2021,HOA,TorreyHighland,298.00,x
02/19/2021,HOA,Campo,298.00,x
02/19/2021,HOA,Poway,298.00,x
02/19/2021,HOA,SpringBrook,363.00,x
02/19/2021,HOA,SabreSpring,363.00,x
02/19/2021,HOA,Heatherton,390.00,x
02/19/2021,HOA,DelMar,295.00,x
02/22/2021,Appliance Supplies,TorreyHighland,69.69,x
02/24/2021,Utilities,Alva,166.62,x
02/24/2021,Appliance Supplies,Alta,4.30,x
02/24/2021,Repairs - Plumbing,Campo,155.00,x
03/03/2021,Utilities,TorreyHighland,100.16,x
03/03/2021,Utilities,Campo,70.23,x
03/03/2021,Utilities,Poway,79.34,x
03/04/2021,Fee,DelMar,205.00,x
03/11/2021,Utilities,DelMar,55.21,x
03/19/2021,HOA,Heatherton,144.00,x
03/19/2021,HOA,DelMar,120.00,x
03/19/2021,HOA,Alva,324.00,x
03/19/2021,HOA,Alta,316.00,x
